,TITLE,ASSIGNMENT,RACE/ETHNICITY,AGE,YEARS_IN_SERVICE,DEGREE,CITY_RESIDENT?,AGENCY,FIRST_NAME,LAST_NAME,EMAIL,GENDER,IP_ADDRESS
24,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,33.0,12.0,2 YEARS COLLEGE; NO A. A.,YES,BPD,Anselma,Lightbowne,alightbowne1g@baidu.com,FEMALE,163.8.101.142
25,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,27.0,6.0,2 YEARS COLLEGE; NO A. A.,NO,BPD,Briney,Sandbach,bsandbach1h@theguardian.com,FEMALE,237.83.62.61
26,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,33.0,11.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Marney,Farfull,mfarfull1i@who.int,FEMALE,37.225.90.55
27,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,39.0,18.0,HGH SCHOOL GRADUATE,NO,BPD,Deane,Blanko,dblanko1k@mashable.com,FEMALE,135.32.108.75
28,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,45.0,22.0,HGH SCHOOL GRADUATE,NO,BPD,Glenn,Robarts,grobarts1m@macromedia.com,FEMALE,125.51.119.193
29,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,OTHER HISPANIC,56.0,19.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Lu,Ferrao,lferrao1n@xrea.com,FEMALE,4.190.126.161
30,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,45.0,25.0,HGH SCHOOL GRADUATE,NO,BPD,Caroline,Hymor,chymor1o@cocolog-nifty.com,FEMALE,130.109.39.145
31,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,29.0,7.0,3 YEARS COLLEGE,YES,BPD,Stormie,Rosbottom,srosbottom1q@typepad.com,FEMALE,126.71.213.69
32,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,35.0,14.0,1 YEAR COLLEGE OR LESS,YES,BPD,Liva,Yushankin,lyushankin1s@slideshare.net,FEMALE,195.16.83.144
33,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,34.0,7.0,HGH SCHOOL GRADUATE,YES,BPD,Cherlyn,Chad,cchad1t@surveymonkey.com,FEMALE,188.56.237.198
34,POLICE OFFICER (EID),COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,37.0,6.0,MASTERS COMPLETED & RECEIVED,NO,BPD,Annalise,Maynell,amaynell1u@fotki.com,FEMALE,163.182.11.32
35,POLICE SERGEANT,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,45.0,25.0,1 YEAR COLLEGE OR LESS,NO,BPD,Rosina,Ferrieroi,rferrieroi1w@google.com,FEMALE,183.217.226.53
36,POLICE SERGEANT,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,46.0,22.0,HGH SCHOOL GRADUATE,NO,BPD,Kriste,Derrell,kderrell1x@elegantthemes.com,FEMALE,110.168.81.124
37,POLICE SERGEANT,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,36.0,10.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Beverlee,Oakinfold,boakinfold20@ezinearticles.com,FEMALE,13.179.215.203
38,POLICE OFFICER,DDU - ADVANCED TECHNICAL TEAM,WHITE,52.0,19.0,1 YEAR COLLEGE OR LESS,NO,BPD,Margaux,Reihm,mreihm22@guardian.co.uk,FEMALE,56.247.143.208
39,POLICE OFFICER,DDU - CITY WIDE ROBBERY UNIT,AFRICAN AMERICAN,28.0,10.0,HGH SCHOOL GRADUATE,YES,BPD,Hedwiga,Castelin,hcastelin23@desdev.cn,FEMALE,37.96.104.179
40,POLICE OFFICER,DDU-CD,AFRICAN AMERICAN,43.0,23.0,HGH SCHOOL GRADUATE,NO,BPD,Fannie,Spelsbury,fspelsbury24@trellian.com,FEMALE,242.29.206.11
41,POLICE OFFICER,DDU-CD,OTHER HISPANIC,33.0,6.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Ginevra,Lozano,glozano27@baidu.com,FEMALE,139.127.215.182
42,POLICE OFFICER,DDU-CD,WHITE,48.0,18.0,2 YEARS COLLEGE; NO A. A.,NO,BPD,Carissa,Jarley,cjarley28@japanpost.jp,FEMALE,24.81.223.5
43,POLICE OFFICER,DDU-CD,AFRICAN AMERICAN,28.0,5.0,1 YEAR COLLEGE OR LESS,YES,BPD,Joscelin,Doyland,jdoyland2a@wikimedia.org,FEMALE,46.126.117.147
44,POLICE OFFICER,DDU-ED,AFRICAN AMERICAN,38.0,13.0,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD,Joyce,Every,jevery2d@pagesperso-orange.fr,FEMALE,142.123.29.152
45,POLICE OFFICER,DDU-ND,AFRICAN AMERICAN,46.0,28.0,1 YEAR COLLEGE OR LESS,NO,BPD,Beverlee,Shimwell,bshimwell2f@1688.com,FEMALE,35.226.172.139
46,POLICE OFFICER,DDU-NWD,AFRICAN AMERICAN,50.0,23.0,HGH SCHOOL GRADUATE,NO,BPD,Lucila,Cassey,lcassey2g@nydailynews.com,FEMALE,53.140.72.154
47,POLICE OFFICER,DDU-SD,WHITE,,5.0,5 YEARS COLLEGE,NO,BPD,Alvera,Milverton,amilverton2h@histats.com,FEMALE,25.228.75.215
48,POLICE OFFICER,DDU-SD,AFRICAN AMERICAN,40.0,11.0,HGH SCHOOL GRADUATE,NO,BPD,Joey,Grimsley,jgrimsley2j@trellian.com,FEMALE,69.173.64.7
49,POLICE SERGEANT,DDU-SD,WHITE,39.0,14.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Danyelle,Whiteley,dwhiteley2l@wsj.com,FEMALE,49.98.70.182
50,POLICE SERGEANT,DDU-SD,WHITE,51.0,20.0,3 YEARS COLLEGE,NO,BPD,Molly,Coram,mcoram2s@nymag.com,FEMALE,86.10.79.75
51,POLICE OFFICER,DDU-SWD,AFRICAN AMERICAN,35.0,7.0,1 YEAR COLLEGE OR LESS,NO,BPD,Kelcie,Hullock,khullock2t@nifty.com,FEMALE,56.158.107.187
52,POLICE OFFICER,DDU-SWD,WHITE,41.0,12.0,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD,Kiersten,Bassill,kbassill2u@alibaba.com,FEMALE,58.18.80.66
53,POLICE OFFICER,DEPLOYMENT UNIT,AFRICAN AMERICAN,32.0,10.0,3 YEARS COLLEGE,YES,BPD,Cherilyn,Ochterlony,cochterlony2v@xing.com,FEMALE,25.159.89.64
54,CAPTAIN,DOJ COMPLIANCE UNIT,AFRICAN AMERICAN,51.0,23.0,3 YEARS COLLEGE,NO,BPD,Lonnie,Dennes,ldennes2w@php.net,FEMALE,179.78.5.106
55,POLICE OFFICER,EASTERN DISTRICT,WHITE,45.0,20.0,1 YEAR COLLEGE OR LESS,NO,BPD,Selina,Londesborough,slondesborough2x@scientificamerican.com,FEMALE,207.193.47.56
56,POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,37.0,9.0,HGH SCHOOL GRADUATE,YES,BPD,Katha,Von Brook,kvonbrook2y@skype.com,FEMALE,244.235.191.112
57,POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,39.0,8.0,1 YEAR COLLEGE OR LESS,NO,BPD,Jerrylee,Lindup,jlindup31@cornell.edu,FEMALE,45.31.137.112
58,POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,31.0,8.0,HGH SCHOOL GRADUATE,YES,BPD,Bernie,Lydden,blydden33@sogou.com,FEMALE,53.1.170.17
59,POLICE OFFICER,EASTERN DISTRICT,AFRICAN AMERICAN,32.0,12.0,1 YEAR COLLEGE OR LESS,NO,BPD,Elane,Gietz,egietz34@4shared.com,FEMALE,27.134.90.255
60,POLICE LIEUTENANT,EDUCATION AND TRAINING SECTION,WHITE,46.0,23.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Haily,Janek,hjanek37@nba.com,FEMALE,234.18.70.71
61,POLICE OFFICER,EDUCATION AND TRAINING SECTION,AFRICAN AMERICAN,46.0,18.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Jocelyne,Furber,jfurber39@angelfire.com,FEMALE,95.137.219.163
62,POLICE OFFICER,EDUCATION AND TRAINING SECTION,OTHER ASIAN,37.0,13.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Kakalina,Lintall,klintall3a@diigo.com,FEMALE,211.5.215.42
63,POLICE OFFICER,EDUCATION AND TRAINING SECTION,WHITE,42.0,9.0,HGH SCHOOL GRADUATE,NO,BPD,Alyse,Thrush,athrush3d@si.edu,FEMALE,54.215.145.203
64,POLICE OFFICER,EDUCATION AND TRAINING SECTION,AFRICAN AMERICAN,41.0,17.0,1 YEAR COLLEGE OR LESS,NO,BPD,Essie,Beachem,ebeachem3f@furl.net,FEMALE,113.249.165.167
65,POLICE SERGEANT,EDUCATION AND TRAINING SECTION,AFRICAN AMERICAN,46.0,15.0,HGH SCHOOL GRADUATE,YES,BPD,Austin,Hanford,ahanford3h@nyu.edu,FEMALE,147.144.250.40
66,POLICE OFFICER,EQUAL OPPORTUNITY & DIVERSITY SEC,AFRICAN AMERICAN,41.0,21.0,1 YEAR COLLEGE OR LESS,NO,BPD,Chere,Danilenko,cdanilenko3i@discovery.com,FEMALE,178.131.26.67
67,POLICE OFFICER,EQUAL OPPORTUNITY & DIVERSITY SEC,AFRICAN AMERICAN,43.0,13.0,HGH SCHOOL GRADUATE,NO,BPD,Chlo,Grollmann,cgrollmann3j@123-reg.co.uk,FEMALE,11.128.244.127
68,POLICE OFFICER,EQUAL OPPORTUNITY & DIVERSITY SEC,AFRICAN AMERICAN,45.0,15.0,HGH SCHOOL GRADUATE,NO,BPD,Marrissa,Lilley,mlilley3k@weebly.com,FEMALE,204.222.134.19
69,POLICE SERGEANT,EQUAL OPPORTUNITY & DIVERSITY SEC,AFRICAN AMERICAN,50.0,29.0,3 YEARS COLLEGE,NO,BPD,Daphene,Capnor,dcapnor3m@nasa.gov,FEMALE,194.58.120.156
70,POLICE OFFICER,EVIDENCE CONTROL UNIT,AFRICAN AMERICAN,46.0,22.0,1 YEAR COLLEGE OR LESS,NO,BPD,Kristel,MacFall,kmacfall3p@mail.ru,FEMALE,123.220.34.231
71,POLICE OFFICER,EVIDENCE CONTROL UNIT,OTHER HISPANIC,34.0,6.0,3 YEARS COLLEGE,NO,BPD,Dot,Sifleet,dsifleet3r@imdb.com,FEMALE,73.121.172.72
72,POLICE OFFICER,EVIDENCE CONTROL UNIT,AFRICAN AMERICAN,39.0,13.0,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD,Halli,Dameisele,hdameisele3s@earthlink.net,FEMALE,74.162.96.130
73,POLICE SERGEANT,EVIDENCE CONTROL UNIT,AFRICAN AMERICAN,45.0,20.0,HGH SCHOOL GRADUATE,NO,BPD,Lacy,Sodory,lsodory3z@mediafire.com,FEMALE,189.178.175.255
74,POLICE OFFICER,FINANCE,WHITE,47.0,20.0,HGH SCHOOL GRADUATE,NO,BPD,Truda,Thieme,tthieme41@homestead.com,FEMALE,189.29.26.150
75,POLICE OFFICER,FISCAL SERVICES,WHITE,60.0,35.0,2 YEARS COLLEGE; NO A. A.,NO,BPD,Lynne,Cridge,lcridge44@dagondesign.com,FEMALE,93.137.132.141
76,POLICE LIEUTENANT EID,GENERAL ACCOUNTABILITY OFFICE,AFRICAN AMERICAN,39.0,15.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Beverley,Welsby,bwelsby45@huffingtonpost.com,FEMALE,134.185.169.71
77,POLICE MAJOR/DIRECTOR,GENERAL ACCOUNTABILITY OFFICE,AFRICAN AMERICAN,42.0,18.0,1 YEAR COLLEGE OR LESS,NO,BPD,Alidia,Sonschein,asonschein46@epa.gov,FEMALE,20.247.215.47
78,POLICE OFFICER,GENERAL ACCOUNTABILITY OFFICE,AFRICAN AMERICAN,33.0,8.0,A.A. COMPLETED & RECEIVED,YES,BPD,Babb,Serrurier,bserrurier47@mysql.com,FEMALE,220.93.175.168
79,POLICE OFFICER,GENERAL ACCOUNTABILITY OFFICE,AFRICAN AMERICAN,44.0,15.0,HGH SCHOOL GRADUATE,NO,BPD,Annette,Kleynen,akleynen48@house.gov,FEMALE,156.245.213.252
80,POLICE OFFICER,GENERAL ACCOUNTABILITY OFFICE,AFRICAN AMERICAN,35.0,9.0,2 YEARS COLLEGE; NO A. A.,NO,BPD,Faina,Giacomuzzo,fgiacomuzzo49@spotify.com,FEMALE,175.239.110.73
81,POLICE OFFICER,GENERAL ACCOUNTABILITY OFFICE,AFRICAN AMERICAN,48.0,19.0,A.A. COMPLETED & RECEIVED,YES,BPD,Sara-ann,O'Loghlen,sologhlen4c@salon.com,FEMALE,212.246.55.159
82,POLICE OFFICER,GRANTS UNIT,AFRICAN AMERICAN,46.0,21.0,1 YEAR COLLEGE OR LESS,NO,BPD,Morena,Coggen,mcoggen4f@hc360.com,FEMALE,82.230.164.211
83,POLICE OFFICER,HEADQUARTERS/CITY HALL SECURITY,AFRICAN AMERICAN,33.0,10.0,HGH SCHOOL GRADUATE,NO,BPD,Cate,Sauniere,csauniere4h@dailymotion.com,FEMALE,193.30.68.32
84,POLICE OFFICER,HEADQUARTERS/CITY HALL SECURITY,WHITE,53.0,23.0,1 YEAR COLLEGE OR LESS,NO,BPD,Lianna,Spriggs,lspriggs4l@imgur.com,FEMALE,64.96.35.163
85,POLICE OFFICER,HEADQUARTERS/CITY HALL SECURITY,AFRICAN AMERICAN,46.0,22.0,HGH SCHOOL GRADUATE,NO,BPD,Eimile,Medling,emedling4m@csmonitor.com,FEMALE,43.246.74.157
86,POLICE SERGEANT,HEADQUARTERS/CITY HALL SECURITY,AFRICAN AMERICAN,28.0,8.0,1 YEAR COLLEGE OR LESS,NO,BPD,Salli,McGeown,smcgeown4o@exblog.jp,FEMALE,17.44.112.210
87,POLICE SERGEANT,HEADQUARTERS/CITY HALL SECURITY,AFRICAN AMERICAN,49.0,28.0,HGH SCHOOL GRADUATE,NO,BPD,Carlynne,Winscom,cwinscom4p@histats.com,FEMALE,9.150.56.38
88,POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,41.0,18.0,1 YEAR COLLEGE OR LESS,NO,BPD,Karil,Gemelli,kgemelli4s@google.com.br,FEMALE,238.217.167.253
89,POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,40.0,20.0,1 YEAR COLLEGE OR LESS,NO,BPD,Dynah,Warin,dwarin4u@istockphoto.com,FEMALE,48.96.51.45
90,POLICE OFFICER,HOMICIDE SECTION,AFRICAN AMERICAN,45.0,15.0,1 YEAR COLLEGE OR LESS,NO,BPD,Vickie,Coffin,vcoffin4w@nba.com,FEMALE,228.202.13.160
91,POLICE OFFICER,HOMICIDE SECTION,WHITE,39.0,16.0,1 YEAR COLLEGE OR LESS,NO,BPD,Allx,Patel,apatel50@dion.ne.jp,FEMALE,194.52.131.185
92,POLICE SERGEANT,HOMICIDE SECTION,AFRICAN AMERICAN,39.0,20.0,HGH SCHOOL GRADUATE,NO,BPD,Bella,Hudspeth,bhudspeth52@yale.edu,FEMALE,242.159.149.106
93,POLICE SERGEANT,HOMICIDE SECTION,AFRICAN AMERICAN,36.0,15.0,HGH SCHOOL GRADUATE,NO,BPD,Noelyn,Hobble,nhobble57@godaddy.com,FEMALE,137.174.203.222
94,POLICE SERGEANT,HOMICIDE SECTION,WHITE,33.0,11.0,1 YEAR COLLEGE OR LESS,NO,BPD,Hedda,Tremlett,htremlett59@fotki.com,FEMALE,102.65.108.205
95,POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,44.0,22.0,HGH SCHOOL GRADUATE,NO,BPD,Deanna,Gonnet,dgonnet5b@ihg.com,FEMALE,14.204.215.64
96,POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,44.0,16.0,2 YEARS COLLEGE; NO A. A.,NO,BPD,Karel,Monni,kmonni5g@blogspot.com,FEMALE,165.181.176.19
97,POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,45.0,19.0,HGH SCHOOL GRADUATE,YES,BPD,Cherye,Mathivet,cmathivet5i@cloudflare.com,FEMALE,11.143.87.97
98,POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,46.0,16.0,HGH SCHOOL GRADUATE,NO,BPD,Flossi,Nitti,fnitti5j@adobe.com,FEMALE,87.104.39.43
99,POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,38.0,12.0,HIGH SCHOOL GED / EQUIVALENCY,YES,BPD,Dede,Stodart,dstodart5k@disqus.com,FEMALE,10.130.5.176
100,POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,32.0,11.0,2 YEARS COLLEGE; NO A. A.,YES,BPD,Liv,Mumm,lmumm5m@addthis.com,FEMALE,102.153.111.164
101,POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,54.0,22.0,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD,Yoshi,Garey,ygarey5n@sciencedaily.com,FEMALE,235.205.104.246
102,POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,44.0,19.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Rebe,Farn,rfarn5s@scribd.com,FEMALE,110.177.250.85
103,POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,41.0,17.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Bell,Cusick,bcusick5t@sfgate.com,FEMALE,97.249.229.65
104,POLICE OFFICER,HUMAN RESOURCES SEC,AFRICAN AMERICAN,49.0,30.0,HGH SCHOOL GRADUATE,NO,BPD,Fayette,Casine,fcasine5u@howstuffworks.com,FEMALE,137.32.248.209
105,POLICE SERGEANT,HUMAN RESOURCES SEC,AFRICAN AMERICAN,32.0,10.0,1 YEAR COLLEGE OR LESS,NO,BPD,Lavinie,Perett,lperett5w@ucoz.ru,FEMALE,39.118.187.207
106,CAPTAIN,INFORMATION SERVICES,WHITE,44.0,21.0,HGH SCHOOL GRADUATE,NO,BPD,Diann,Goullee,dgoullee60@4shared.com,FEMALE,243.33.122.230
107,POLICE MAJOR/DIRECTOR,INFORMATION SERVICES,WHITE,51.0,19.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Maurita,Postins,mpostins63@example.com,FEMALE,235.15.164.191
108,POLICE SERGEANT,INFORMATION SERVICES,AFRICAN AMERICAN,45.0,20.0,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD,Barbie,Wonfar,bwonfar64@microsoft.com,FEMALE,93.218.175.176
109,POLICE LIEUTENANT,INFORMATION TECHNOLOGY SECTION,AFRICAN AMERICAN,37.0,12.0,HGH SCHOOL GRADUATE,NO,BPD,Birgitta,Wellbeloved,bwellbeloved65@toplist.cz,FEMALE,209.105.168.41
110,POLICE LIEUTENANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,50.0,30.0,MASTERS COMPLETED & RECEIVED,NO,BPD,Lizzy,Mattusevich,lmattusevich66@bluehost.com,FEMALE,153.34.247.35
111,POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,41.0,22.0,HGH SCHOOL GRADUATE,NO,BPD,Adora,Brearton,abrearton67@epa.gov,FEMALE,84.67.114.103
112,POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,45.0,23.0,1 YEAR COLLEGE OR LESS,NO,BPD,Betsey,Rea,brea68@smh.com.au,FEMALE,110.130.133.113
113,POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,33.0,12.0,HGH SCHOOL GRADUATE,NO,BPD,Lynn,Docket,ldocket6c@opensource.org,FEMALE,153.14.250.139
114,POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,45.0,13.0,HGH SCHOOL GRADUATE,NO,BPD,Laetitia,Babe,lbabe6e@xing.com,FEMALE,94.167.98.59
115,POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,39.0,8.0,1 YEAR COLLEGE OR LESS,NO,BPD,Irene,Sherrell,isherrell6i@globo.com,FEMALE,2.103.8.44
116,POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,43.0,23.0,2 YEARS COLLEGE; NO A. A.,NO,BPD,Nissy,Damarell,ndamarell6o@angelfire.com,FEMALE,158.154.92.190
117,POLICE OFFICER,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,34.0,7.0,4 YEARS COLLEGE,NO,BPD,Ketty,Castilljo,kcastilljo6q@cmu.edu,FEMALE,249.33.163.141
118,POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,33.0,13.0,2 YEARS COLLEGE; NO A. A.,NO,BPD,Ilene,Patrie,ipatrie6t@moonfruit.com,FEMALE,97.194.106.235
119,POLICE OFFICER,INTERNAL AFFAIRS DIV,WHITE,44.0,20.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Clea,Lardeux,clardeux70@elegantthemes.com,FEMALE,101.138.131.79
120,POLICE OFFICER (EID),INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,34.0,13.0,1 YEAR COLLEGE OR LESS,NO,BPD,Liva,Smith,lsmith72@psu.edu,FEMALE,69.173.39.135
121,POLICE OFFICER (EID),INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,32.0,10.0,HGH SCHOOL GRADUATE,YES,BPD,Heather,Tonkin,htonkin73@twitter.com,FEMALE,229.137.228.5
122,POLICE SERGEANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,42.0,14.0,HGH SCHOOL GRADUATE,NO,BPD,Suzie,Passion,spassion74@nydailynews.com,FEMALE,182.17.94.139
123,POLICE SERGEANT,INTERNAL AFFAIRS DIV,AFRICAN AMERICAN,36.0,17.0,HGH SCHOOL GRADUATE,NO,BPD,Iseabal,Edensor,iedensor75@aol.com,FEMALE,92.53.93.207
